section,item,value,evidence
design contract,ladders,5,study implementation
design contract,nominal_rungs_per_ladder,4,study implementation
design contract,expected_runs,20,tracked study record
design contract,optimizer_updates_per_run,128000,validated config
design contract,effective_batch_size,64,validated config
design contract,configured_examples_per_run,8192000,validated config
design contract,horizontal_flip_probability,0.0,validated config
readiness,Study state,planned,tracked study record
readiness,GFC-v2 and oracle code,implemented in software,repository tests
readiness,GaitLU preparation pipeline,implemented in software,repository tests
readiness,Training and Slurm launchers,implemented in software,repository tests
readiness,Corpus preparation,pending,no completion claimed
readiness,Measured nested pool sizes,pending,nominal rungs only
readiness,Throughput gate,pending,must precede registry freeze
readiness,Training registry freeze,pending,launch contract incomplete
readiness,Twenty primary training runs,pending,no outcomes available
readiness,GFC-v2 scaling outcomes,pending,locked outcome stage not opened
